,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
0,23,10,23,0.46031,3,27,15,MacKinnon,1,14,8477492,9,38,1.4074,C,5,15,0,0,0.12295,R,122,Nathan MacKinnon,1360.1481
1,29,7,23,0.0,1,28,7,Kucherov,0,41,8476453,11,36,1.28571,R,0,13,0,0,0.0693,L,101,Nikita Kucherov,1301.5714
2,19,10,17,0.33333,3,37,16,Marchand,0,16,8473419,4,35,0.94594,L,6,17,0,1,0.16,L,100,Brad Marchand,1237.3243
3,22,9,22,0.38095,2,27,13,Rantanen,1,10,8478420,10,35,1.29629,R,4,13,0,0,0.14606,L,89,Mikko Rantanen,1246.3703
4,19,10,26,0.57425,3,27,15,Point,2,15,8478010,7,34,1.25925,C,5,8,0,0,0.2,R,75,Brayden Point,1221.1481
5,22,9,25,0.53325,3,35,12,O'Reilly,0,4,8475158,5,34,0.97142,C,3,9,0,0,0.15584,L,77,Ryan O'Reilly,1295.4571
6,22,5,21,,0,40,8,Heiskanen,0,4,8480036,8,30,0.75,D,3,9,0,0,0.08888,L,90,Miro Heiskanen,1549.275
7,24,6,21,,4,39,6,Klingberg,1,20,8475906,3,30,0.76923,D,0,9,0,0,0.07894,R,76,John Klingberg,1426.2307
8,16,10,20,0.1875,2,27,13,Stone,0,8,8475913,1,29,1.07407,R,3,8,0,1,0.22807,R,57,Mark Stone,1159.6666
9,17,7,14,1.0,2,34,12,Pastrnak,0,6,8477956,-3,29,0.85294,R,5,15,0,0,0.09836,R,122,David Pastrnak,1125.5588
10,19,5,22,0.53779,1,40,10,Benn,0,42,8473994,4,29,0.725,L,4,6,1,1,0.08928,L,112,Jamie Benn,1082.9
11,11,12,20,0.54261,0,40,17,Pavelski,0,34,8470794,3,28,0.7,C,5,8,0,0,0.19318,R,88,Joe Pavelski,1139.925
12,15,9,19,0.75,5,40,13,Radulov,2,32,8471228,5,28,0.7,R,4,9,0,0,0.13131,L,99,Alexander Radulov,1055.65
13,20,6,18,0.51529,1,37,8,Krejci,0,14,8471276,0,28,0.75675,C,2,10,0,0,0.14545,R,55,David Krejci,1090.0
14,19,5,15,,1,27,8,Theodore,0,14,8477447,8,27,1.0,D,3,12,0,0,0.08888,L,90,Shea Theodore,1352.4074
15,20,4,17,0.4074,2,30,6,Bailey,1,0,8474573,10,26,0.86666,R,1,8,1,1,0.11538,L,52,Josh Bailey,1132.0333
16,14,7,17,0.4,2,35,11,Perron,0,24,8474102,6,25,0.71428,L,4,8,0,0,0.12359,R,89,David Perron,1121.8571
17,14,3,10,0.57664,4,37,11,Bergeron,1,18,8470638,6,25,0.67567,C,8,14,0,1,0.08396,R,131,Patrice Bergeron,1146.2432
18,21,3,17,,1,35,4,Pietrangelo,0,18,8474565,5,25,0.71428,D,1,8,0,0,0.03636,R,110,Alex Pietrangelo,1536.4571
19,8,14,22,0.57894,2,35,16,Schwartz,0,6,8475768,6,24,0.68571,L,2,2,0,0,0.17204,L,93,Jaden Schwartz,1081.8
20,16,3,17,0.45736,0,23,8,Aho,0,6,8478427,9,24,1.04347,C,3,5,2,2,0.14814,L,54,Sebastian Aho,1251.0869
21,17,4,17,0.47826,1,30,7,Barzal,1,18,8478445,4,24,0.8,C,3,7,0,0,0.08974,R,78,Mathew Barzal,1160.4333
22,18,5,19,0.52877,1,39,6,Seguin,0,14,8475794,4,24,0.61538,C,1,4,0,1,0.05084,R,118,Tyler Seguin,1161.1282
23,22,0,8,,0,37,2,Krug,0,32,8476792,-2,24,0.64864,D,2,16,0,0,0.02298,L,87,Torey Krug,1351.6216
24,14,7,14,0.16666,3,30,9,Eberle,1,12,8474586,6,23,0.76666,R,2,9,0,0,0.11538,R,78,Jordan Eberle,1096.6666
25,9,11,18,0.5021,5,30,13,Nelson,0,14,8475754,2,22,0.73333,C,2,3,0,1,0.16455,L,79,Brock Nelson,1143.8666
26,12,7,12,,3,27,10,Hedman,1,34,8475167,11,22,0.81481,D,3,10,0,0,0.11363,L,88,Victor Hedman,1573.4074
27,9,9,14,0.49635,1,37,12,Coyle,1,14,8475745,4,21,0.56756,C,3,6,0,1,0.17142,R,70,Charlie Coyle,993.6486
28,14,5,10,0.50628,0,38,7,Hintz,0,12,8478449,-4,21,0.55263,L,2,10,0,1,0.08974,L,78,Roope Hintz,872.2105
29,16,5,14,0.51028,1,26,5,Landeskog,1,22,8476455,5,21,0.80769,L,0,7,0,0,0.06756,L,74,Gabriel Landeskog,1280.8076
30,16,3,15,,3,25,5,Makar,0,0,8480069,15,21,0.84,D,2,6,0,0,0.1,R,50,Cale Makar,1269.2
31,6,10,14,0.46666,1,20,14,Couture,0,6,8474053,3,20,1.0,C,3,5,1,1,0.20895,L,67,Logan Couture,1208.55
32,10,4,12,0.52845,5,17,10,Kadri,0,29,8475172,4,20,1.17647,C,6,8,0,0,0.16949,L,59,Nazem Kadri,1086.3529
33,14,4,12,0.2,1,27,6,Smith,1,8,8475191,3,20,0.74074,R,2,7,0,1,0.08219,L,73,Reilly Smith,1082.9259
34,14,4,12,0.56084,0,21,6,Miller,0,14,8476468,3,20,0.95238,C,2,8,0,0,0.15789,L,38,J.T. Miller,1164.3809
35,7,9,14,0.30434,3,29,12,Palat,1,12,8476292,12,19,0.65517,L,3,5,0,0,0.14285,L,84,Ondrej Palat,1224.5172
36,9,6,14,0.51724,2,23,10,Pacioretty,0,16,8474157,-1,19,0.82608,L,4,5,0,0,0.11235,L,89,Max Pacioretty,1049.7391
37,11,7,16,0.5,1,22,8,Burakovsky,0,4,8477444,4,19,0.86363,L,1,3,0,0,0.27586,L,29,Andre Burakovsky,758.0909
38,11,3,8,0.49367,2,17,7,Pettersson,0,2,8480012,2,18,1.05882,C,4,10,0,0,0.18421,L,38,Elias Pettersson,1161.7058
39,6,6,10,0.0,2,30,11,Tarasenko,0,4,8475765,-6,17,0.56666,R,5,7,0,0,0.11,L,100,Vladimir Tarasenko,1093.7333
40,8,7,10,0.5,2,27,9,Gurianov,1,2,8478495,0,17,0.62962,R,2,7,0,0,0.16666,L,54,Denis Gurianov,833.1481
41,10,6,12,0.48563,1,35,7,Schenn,1,20,8475170,-4,17,0.48571,C,1,5,0,0,0.0875,L,80,Brayden Schenn,1139.6571
42,12,4,11,0.52322,2,25,5,Stastny,0,10,8471669,3,17,0.68,C,1,6,0,0,0.08333,L,60,Paul Stastny,1056.12
43,6,8,12,0.5,3,30,10,Beauvillier,0,10,8478463,6,16,0.53333,L,2,4,0,0,0.12195,L,82,Anthony Beauvillier,998.6
44,9,4,12,0.51111,1,27,7,Marchessault,0,22,8476539,2,16,0.59259,C,3,4,0,0,0.08433,R,83,Jonathan Marchessault,1021.2592
45,10,6,16,0.48768,0,22,6,Hayes,0,4,8475763,9,16,0.72727,C,0,0,0,0,0.11111,L,54,Kevin Hayes,1007.0909
46,11,4,11,,0,20,5,Burns,0,6,8470613,2,16,0.8,D,1,5,0,0,0.08771,R,57,Brent Burns,1704.5
47,11,5,12,0.4,1,18,5,Atkinson,0,8,8474715,5,16,0.88888,R,0,4,0,0,0.09433,R,53,Cam Atkinson,1224.0555
48,14,1,7,,0,17,2,Hughes,0,2,8480800,-2,16,0.94117,D,1,9,0,0,0.06666,L,30,Quinn Hughes,1367.7058
49,14,2,10,,1,19,2,Karlsson,1,8,8474578,-3,16,0.8421,D,0,6,0,0,0.03921,R,51,Erik Karlsson,1484.8947
50,29,7,23,0.0,1,28,7,Kucherov,0,41,8476453,11,36,1.28571,R,0,13,0,0,0.0693,L,101,Nikita Kucherov,1301.5714
51,19,10,17,0.33333,3,37,16,Marchand,0,16,8473419,4,35,0.94594,L,6,17,0,1,0.16,L,100,Brad Marchand,1237.3243
52,22,9,22,0.38095,2,27,13,Rantanen,1,10,8478420,10,35,1.29629,R,4,13,0,0,0.14606,L,89,Mikko Rantanen,1246.3703
53,19,10,26,0.57425,3,27,15,Point,2,15,8478010,7,34,1.25925,C,5,8,0,0,0.2,R,75,Brayden Point,1221.1481
54,22,9,25,0.53325,3,35,12,O'Reilly,0,4,8475158,5,34,0.97142,C,3,9,0,0,0.15584,L,77,Ryan O'Reilly,1295.4571
55,22,5,21,,0,40,8,Heiskanen,0,4,8480036,8,30,0.75,D,3,9,0,0,0.08888,L,90,Miro Heiskanen,1549.275
56,24,6,21,,4,39,6,Klingberg,1,20,8475906,3,30,0.76923,D,0,9,0,0,0.07894,R,76,John Klingberg,1426.2307
57,16,10,20,0.1875,2,27,13,Stone,0,8,8475913,1,29,1.07407,R,3,8,0,1,0.22807,R,57,Mark Stone,1159.6666
58,17,7,14,1.0,2,34,12,Pastrnak,0,6,8477956,-3,29,0.85294,R,5,15,0,0,0.09836,R,122,David Pastrnak,1125.5588
59,19,5,22,0.53779,1,40,10,Benn,0,42,8473994,4,29,0.725,L,4,6,1,1,0.08928,L,112,Jamie Benn,1082.9
60,11,12,20,0.54261,0,40,17,Pavelski,0,34,8470794,3,28,0.7,C,5,8,0,0,0.19318,R,88,Joe Pavelski,1139.925
61,15,9,19,0.75,5,40,13,Radulov,2,32,8471228,5,28,0.7,R,4,9,0,0,0.13131,L,99,Alexander Radulov,1055.65
62,20,6,18,0.51529,1,37,8,Krejci,0,14,8471276,0,28,0.75675,C,2,10,0,0,0.14545,R,55,David Krejci,1090.0
63,19,5,15,,1,27,8,Theodore,0,14,8477447,8,27,1.0,D,3,12,0,0,0.08888,L,90,Shea Theodore,1352.4074
64,20,4,17,0.4074,2,30,6,Bailey,1,0,8474573,10,26,0.86666,R,1,8,1,1,0.11538,L,52,Josh Bailey,1132.0333
65,14,7,17,0.4,2,35,11,Perron,0,24,8474102,6,25,0.71428,L,4,8,0,0,0.12359,R,89,David Perron,1121.8571
66,14,3,10,0.57664,4,37,11,Bergeron,1,18,8470638,6,25,0.67567,C,8,14,0,1,0.08396,R,131,Patrice Bergeron,1146.2432
67,21,3,17,,1,35,4,Pietrangelo,0,18,8474565,5,25,0.71428,D,1,8,0,0,0.03636,R,110,Alex Pietrangelo,1536.4571
68,8,14,22,0.57894,2,35,16,Schwartz,0,6,8475768,6,24,0.68571,L,2,2,0,0,0.17204,L,93,Jaden Schwartz,1081.8
69,16,3,17,0.45736,0,23,8,Aho,0,6,8478427,9,24,1.04347,C,3,5,2,2,0.14814,L,54,Sebastian Aho,1251.0869
70,17,4,17,0.47826,1,30,7,Barzal,1,18,8478445,4,24,0.8,C,3,7,0,0,0.08974,R,78,Mathew Barzal,1160.4333
71,18,5,19,0.52877,1,39,6,Seguin,0,14,8475794,4,24,0.61538,C,1,4,0,1,0.05084,R,118,Tyler Seguin,1161.1282
72,22,0,8,,0,37,2,Krug,0,32,8476792,-2,24,0.64864,D,2,16,0,0,0.02298,L,87,Torey Krug,1351.6216
73,14,7,14,0.16666,3,30,9,Eberle,1,12,8474586,6,23,0.76666,R,2,9,0,0,0.11538,R,78,Jordan Eberle,1096.6666
74,9,11,18,0.5021,5,30,13,Nelson,0,14,8475754,2,22,0.73333,C,2,3,0,1,0.16455,L,79,Brock Nelson,1143.8666
75,12,7,12,,3,27,10,Hedman,1,34,8475167,11,22,0.81481,D,3,10,0,0,0.11363,L,88,Victor Hedman,1573.4074
76,9,9,14,0.49635,1,37,12,Coyle,1,14,8475745,4,21,0.56756,C,3,6,0,1,0.17142,R,70,Charlie Coyle,993.6486
77,14,5,10,0.50628,0,38,7,Hintz,0,12,8478449,-4,21,0.55263,L,2,10,0,1,0.08974,L,78,Roope Hintz,872.2105
78,16,5,14,0.51028,1,26,5,Landeskog,1,22,8476455,5,21,0.80769,L,0,7,0,0,0.06756,L,74,Gabriel Landeskog,1280.8076
79,16,3,15,,3,25,5,Makar,0,0,8480069,15,21,0.84,D,2,6,0,0,0.1,R,50,Cale Makar,1269.2
80,6,10,14,0.46666,1,20,14,Couture,0,6,8474053,3,20,1.0,C,3,5,1,1,0.20895,L,67,Logan Couture,1208.55
81,10,4,12,0.52845,5,17,10,Kadri,0,29,8475172,4,20,1.17647,C,6,8,0,0,0.16949,L,59,Nazem Kadri,1086.3529
82,14,4,12,0.2,1,27,6,Smith,1,8,8475191,3,20,0.74074,R,2,7,0,1,0.08219,L,73,Reilly Smith,1082.9259
83,14,4,12,0.56084,0,21,6,Miller,0,14,8476468,3,20,0.95238,C,2,8,0,0,0.15789,L,38,J.T. Miller,1164.3809
84,7,9,14,0.30434,3,29,12,Palat,1,12,8476292,12,19,0.65517,L,3,5,0,0,0.14285,L,84,Ondrej Palat,1224.5172
85,9,6,14,0.51724,2,23,10,Pacioretty,0,16,8474157,-1,19,0.82608,L,4,5,0,0,0.11235,L,89,Max Pacioretty,1049.7391
86,11,7,16,0.5,1,22,8,Burakovsky,0,4,8477444,4,19,0.86363,L,1,3,0,0,0.27586,L,29,Andre Burakovsky,758.0909
87,11,3,8,0.49367,2,17,7,Pettersson,0,2,8480012,2,18,1.05882,C,4,10,0,0,0.18421,L,38,Elias Pettersson,1161.7058
88,6,6,10,0.0,2,30,11,Tarasenko,0,4,8475765,-6,17,0.56666,R,5,7,0,0,0.11,L,100,Vladimir Tarasenko,1093.7333
89,8,7,10,0.5,2,27,9,Gurianov,1,2,8478495,0,17,0.62962,R,2,7,0,0,0.16666,L,54,Denis Gurianov,833.1481
90,10,6,12,0.48563,1,35,7,Schenn,1,20,8475170,-4,17,0.48571,C,1,5,0,0,0.0875,L,80,Brayden Schenn,1139.6571
91,12,4,11,0.52322,2,25,5,Stastny,0,10,8471669,3,17,0.68,C,1,6,0,0,0.08333,L,60,Paul Stastny,1056.12
92,6,8,12,0.5,3,30,10,Beauvillier,0,10,8478463,6,16,0.53333,L,2,4,0,0,0.12195,L,82,Anthony Beauvillier,998.6
93,9,4,12,0.51111,1,27,7,Marchessault,0,22,8476539,2,16,0.59259,C,3,4,0,0,0.08433,R,83,Jonathan Marchessault,1021.2592
94,10,6,16,0.48768,0,22,6,Hayes,0,4,8475763,9,16,0.72727,C,0,0,0,0,0.11111,L,54,Kevin Hayes,1007.0909
95,11,4,11,,0,20,5,Burns,0,6,8470613,2,16,0.8,D,1,5,0,0,0.08771,R,57,Brent Burns,1704.5
96,11,5,12,0.4,1,18,5,Atkinson,0,8,8474715,5,16,0.88888,R,0,4,0,0,0.09433,R,53,Cam Atkinson,1224.0555
97,14,1,7,,0,17,2,Hughes,0,2,8480800,-2,16,0.94117,D,1,9,0,0,0.06666,L,30,Quinn Hughes,1367.7058
98,14,2,10,,1,19,2,Karlsson,1,8,8474578,-3,16,0.8421,D,0,6,0,0,0.03921,R,51,Erik Karlsson,1484.8947
99,5,9,13,0.44444,1,23,10,Teravainen,0,6,8476882,12,15,0.65217,L,1,2,0,0,0.19607,L,51,Teuvo Teravainen,1196.1739
100,19,10,17,0.33333,3,37,16,Marchand,0,16,8473419,4,35,0.94594,L,6,17,0,1,0.16,L,100,Brad Marchand,1237.3243
101,22,9,22,0.38095,2,27,13,Rantanen,1,10,8478420,10,35,1.29629,R,4,13,0,0,0.14606,L,89,Mikko Rantanen,1246.3703
102,19,10,26,0.57425,3,27,15,Point,2,15,8478010,7,34,1.25925,C,5,8,0,0,0.2,R,75,Brayden Point,1221.1481
103,22,9,25,0.53325,3,35,12,O'Reilly,0,4,8475158,5,34,0.97142,C,3,9,0,0,0.15584,L,77,Ryan O'Reilly,1295.4571
104,22,5,21,,0,40,8,Heiskanen,0,4,8480036,8,30,0.75,D,3,9,0,0,0.08888,L,90,Miro Heiskanen,1549.275
105,24,6,21,,4,39,6,Klingberg,1,20,8475906,3,30,0.76923,D,0,9,0,0,0.07894,R,76,John Klingberg,1426.2307
106,16,10,20,0.1875,2,27,13,Stone,0,8,8475913,1,29,1.07407,R,3,8,0,1,0.22807,R,57,Mark Stone,1159.6666
107,17,7,14,1.0,2,34,12,Pastrnak,0,6,8477956,-3,29,0.85294,R,5,15,0,0,0.09836,R,122,David Pastrnak,1125.5588
108,19,5,22,0.53779,1,40,10,Benn,0,42,8473994,4,29,0.725,L,4,6,1,1,0.08928,L,112,Jamie Benn,1082.9
109,11,12,20,0.54261,0,40,17,Pavelski,0,34,8470794,3,28,0.7,C,5,8,0,0,0.19318,R,88,Joe Pavelski,1139.925
110,15,9,19,0.75,5,40,13,Radulov,2,32,8471228,5,28,0.7,R,4,9,0,0,0.13131,L,99,Alexander Radulov,1055.65
111,20,6,18,0.51529,1,37,8,Krejci,0,14,8471276,0,28,0.75675,C,2,10,0,0,0.14545,R,55,David Krejci,1090.0
112,19,5,15,,1,27,8,Theodore,0,14,8477447,8,27,1.0,D,3,12,0,0,0.08888,L,90,Shea Theodore,1352.4074
113,20,4,17,0.4074,2,30,6,Bailey,1,0,8474573,10,26,0.86666,R,1,8,1,1,0.11538,L,52,Josh Bailey,1132.0333
114,14,7,17,0.4,2,35,11,Perron,0,24,8474102,6,25,0.71428,L,4,8,0,0,0.12359,R,89,David Perron,1121.8571
115,14,3,10,0.57664,4,37,11,Bergeron,1,18,8470638,6,25,0.67567,C,8,14,0,1,0.08396,R,131,Patrice Bergeron,1146.2432
116,21,3,17,,1,35,4,Pietrangelo,0,18,8474565,5,25,0.71428,D,1,8,0,0,0.03636,R,110,Alex Pietrangelo,1536.4571
117,8,14,22,0.57894,2,35,16,Schwartz,0,6,8475768,6,24,0.68571,L,2,2,0,0,0.17204,L,93,Jaden Schwartz,1081.8
118,16,3,17,0.45736,0,23,8,Aho,0,6,8478427,9,24,1.04347,C,3,5,2,2,0.14814,L,54,Sebastian Aho,1251.0869
119,17,4,17,0.47826,1,30,7,Barzal,1,18,8478445,4,24,0.8,C,3,7,0,0,0.08974,R,78,Mathew Barzal,1160.4333
120,18,5,19,0.52877,1,39,6,Seguin,0,14,8475794,4,24,0.61538,C,1,4,0,1,0.05084,R,118,Tyler Seguin,1161.1282
121,22,0,8,,0,37,2,Krug,0,32,8476792,-2,24,0.64864,D,2,16,0,0,0.02298,L,87,Torey Krug,1351.6216
122,14,7,14,0.16666,3,30,9,Eberle,1,12,8474586,6,23,0.76666,R,2,9,0,0,0.11538,R,78,Jordan Eberle,1096.6666
123,9,11,18,0.5021,5,30,13,Nelson,0,14,8475754,2,22,0.73333,C,2,3,0,1,0.16455,L,79,Brock Nelson,1143.8666
124,12,7,12,,3,27,10,Hedman,1,34,8475167,11,22,0.81481,D,3,10,0,0,0.11363,L,88,Victor Hedman,1573.4074
125,9,9,14,0.49635,1,37,12,Coyle,1,14,8475745,4,21,0.56756,C,3,6,0,1,0.17142,R,70,Charlie Coyle,993.6486
126,14,5,10,0.50628,0,38,7,Hintz,0,12,8478449,-4,21,0.55263,L,2,10,0,1,0.08974,L,78,Roope Hintz,872.2105
127,16,5,14,0.51028,1,26,5,Landeskog,1,22,8476455,5,21,0.80769,L,0,7,0,0,0.06756,L,74,Gabriel Landeskog,1280.8076
128,16,3,15,,3,25,5,Makar,0,0,8480069,15,21,0.84,D,2,6,0,0,0.1,R,50,Cale Makar,1269.2
129,6,10,14,0.46666,1,20,14,Couture,0,6,8474053,3,20,1.0,C,3,5,1,1,0.20895,L,67,Logan Couture,1208.55
130,10,4,12,0.52845,5,17,10,Kadri,0,29,8475172,4,20,1.17647,C,6,8,0,0,0.16949,L,59,Nazem Kadri,1086.3529
131,14,4,12,0.2,1,27,6,Smith,1,8,8475191,3,20,0.74074,R,2,7,0,1,0.08219,L,73,Reilly Smith,1082.9259
132,14,4,12,0.56084,0,21,6,Miller,0,14,8476468,3,20,0.95238,C,2,8,0,0,0.15789,L,38,J.T. Miller,1164.3809
133,7,9,14,0.30434,3,29,12,Palat,1,12,8476292,12,19,0.65517,L,3,5,0,0,0.14285,L,84,Ondrej Palat,1224.5172
134,9,6,14,0.51724,2,23,10,Pacioretty,0,16,8474157,-1,19,0.82608,L,4,5,0,0,0.11235,L,89,Max Pacioretty,1049.7391
135,11,7,16,0.5,1,22,8,Burakovsky,0,4,8477444,4,19,0.86363,L,1,3,0,0,0.27586,L,29,Andre Burakovsky,758.0909
136,11,3,8,0.49367,2,17,7,Pettersson,0,2,8480012,2,18,1.05882,C,4,10,0,0,0.18421,L,38,Elias Pettersson,1161.7058
137,6,6,10,0.0,2,30,11,Tarasenko,0,4,8475765,-6,17,0.56666,R,5,7,0,0,0.11,L,100,Vladimir Tarasenko,1093.7333
138,8,7,10,0.5,2,27,9,Gurianov,1,2,8478495,0,17,0.62962,R,2,7,0,0,0.16666,L,54,Denis Gurianov,833.1481
139,10,6,12,0.48563,1,35,7,Schenn,1,20,8475170,-4,17,0.48571,C,1,5,0,0,0.0875,L,80,Brayden Schenn,1139.6571
140,12,4,11,0.52322,2,25,5,Stastny,0,10,8471669,3,17,0.68,C,1,6,0,0,0.08333,L,60,Paul Stastny,1056.12
141,6,8,12,0.5,3,30,10,Beauvillier,0,10,8478463,6,16,0.53333,L,2,4,0,0,0.12195,L,82,Anthony Beauvillier,998.6
142,9,4,12,0.51111,1,27,7,Marchessault,0,22,8476539,2,16,0.59259,C,3,4,0,0,0.08433,R,83,Jonathan Marchessault,1021.2592
143,10,6,16,0.48768,0,22,6,Hayes,0,4,8475763,9,16,0.72727,C,0,0,0,0,0.11111,L,54,Kevin Hayes,1007.0909
144,11,4,11,,0,20,5,Burns,0,6,8470613,2,16,0.8,D,1,5,0,0,0.08771,R,57,Brent Burns,1704.5
145,11,5,12,0.4,1,18,5,Atkinson,0,8,8474715,5,16,0.88888,R,0,4,0,0,0.09433,R,53,Cam Atkinson,1224.0555
146,14,1,7,,0,17,2,Hughes,0,2,8480800,-2,16,0.94117,D,1,9,0,0,0.06666,L,30,Quinn Hughes,1367.7058
147,14,2,10,,1,19,2,Karlsson,1,8,8474578,-3,16,0.8421,D,0,6,0,0,0.03921,R,51,Erik Karlsson,1484.8947
